0.006341x + 11292.81+..~..=11172.05278773909	 8264 Points (+/- 364.46278773909034)	[8/13/2019 - 20:25:34]
0.006236x + 11292.81+..~..=11169.5127930558	 8266 Points (+/- 361.92279305579905)	[8/13/2019 - 20:25:59]
0.006130x + 11292.81+..~..=11168.130088079102	 8268 Points (+/- 360.54008807910213)	[8/13/2019 - 20:26:23]
0.006078x + 11292.81+..~..=11167.46357782792	 8269 Points (+/- 356.9935778279214)	[8/13/2019 - 20:26:47]
0.005973x + 11292.81+..~..=11164.454902257785	 8271 Points (+/- 353.9849022577855)	[8/13/2019 - 20:27:12]
0.005922x + 11292.81+..~..=11165.571055978548	 8272 Points (+/- 341.5610559785473)	[8/13/2019 - 20:27:36]
0.005820x + 11292.81+..~..=11164.438294928417	 8274 Points (+/- 340.428294928417)	[8/13/2019 - 20:28:0]
0.005718x + 11292.81+..~..=11163.302189632432	 8276 Points (+/- 340.1221896324314)	[8/13/2019 - 20:28:25]
0.005667x + 11292.81+..~..=11162.732286251356	 8277 Points (+/- 339.5522862513553)	[8/13/2019 - 20:28:49]
0.005565x + 11292.81+..~..=11161.594239722797	 8279 Points (+/- 338.414239722797)	[8/13/2019 - 20:29:13]
0.005514x + 11292.81+..~..=11161.39912131339	 8280 Points (+/- 338.6891213133913)	[8/13/2019 - 20:29:38]
0.005412x + 11292.81+..~..=11160.15128065985	 8282 Points (+/- 337.44128065985024)	[8/13/2019 - 20:30:2]
0.005310x + 11292.81+..~..=11158.702245596602	 8284 Points (+/- 342.9822455966023)	[8/13/2019 - 20:30:26]
0.005258x + 11292.81+..~..=11158.0923910232	 8285 Points (+/- 342.3723910232002)	[8/13/2019 - 20:30:51]
0.005156x + 11292.81+..~..=11156.99549239766	 8287 Points (+/- 341.4354923976607)	[8/13/2019 - 20:31:15]
0.005104x + 11292.81+..~..=11156.364405313845	 8288 Points (+/- 340.80440531384556)	[8/13/2019 - 20:31:39]
0.005002x + 11292.81+..~..=11155.126349177026	 8290 Points (+/- 339.5663491770265)	[8/13/2019 - 20:32:4]
0.004899x + 11292.81+..~..=11163.125722016128	 8292 Points (+/- 358.00572201612704)	[8/13/2019 - 20:32:28]
0.004847x + 11292.81+..~..=11161.532607401583	 8293 Points (+/- 356.41260740158214)	[8/13/2019 - 20:32:52]
0.004743x + 11292.81+..~..=11151.818894564749	 8295 Points (+/- 346.6988945647481)	[8/13/2019 - 20:33:17]
0.004690x + 11292.81+..~..=11151.112199402352	 8296 Points (+/- 355.5521994023529)	[8/13/2019 - 20:33:41]
0.004584x + 11292.81+..~..=11149.70659685411	 8298 Points (+/- 354.1465968541106)	[8/13/2019 - 20:34:5]
0.004480x + 11292.81+..~..=11146.731641901155	 8300 Points (+/- 348.49164190115516)	[8/13/2019 - 20:34:30]
0.004427x + 11292.81+..~..=11146.31945081538	 8301 Points (+/- 348.07945081537946)	[8/13/2019 - 20:34:54]
